Date,Time,Description,Amount,Category,Type,Payment Mode,Transaction ID
2025-08-31,12:12,BookMyShow Events,-2810,Entertainment,Expense,Cash,TXN202508310156
2025-08-31,21:24,Chinese Restaurant,-600,Food & Dining,Expense,Cash,TXN202508310156
2025-09-01,09:02,Auto Rickshaw,-130,Transportation,Expense,UPI,TXN202509010315
2025-09-01,10:30,Salary Credited,217000,Income,Income,Bank Transfer,SAL20250901001
2025-09-01,13:11,YouTube Premium,-150,Entertainment,Expense,UPI,TXN202509010315
2025-09-01,14:36,INOX Cinema,-1070,Entertainment,Expense,Cash,TXN202509010315
2025-09-01,21:42,Ajio Clothing,-1460,Shopping,Expense,Card,TXN202509010315
2025-09-01,23:43,Ola Cab,-290,Transportation,Expense,Cash,TXN202509010315
2025-09-02,06:03,Ajio Clothing,-1640,Shopping,Expense,Net Banking,TXN202509020315
2025-09-02,08:25,Flipkart Purchase,-2160,Shopping,Expense,UPI,TXN202509020315
2025-09-02,11:10,Auto Rickshaw,-130,Transportation,Expense,Net Banking,TXN202509020315
2025-09-02,14:08,Bakery Items,-100,Food & Dining,Expense,UPI,TXN202509020315
2025-09-02,21:15,Amusement Park,-1310,Entertainment,Expense,Net Banking,TXN202509020315
2025-09-02,21:20,Cafe Coffee Day,-280,Food & Dining,Expense,Net Banking,TXN202509020315
2025-09-02,23:40,Rapido Bike,-110,Transportation,Expense,UPI,TXN202509020315
2025-09-03,12:04,Eye Checkup,-1780,Healthcare,Expense,Card,TXN202509030315
2025-09-03,12:20,Local Kirana Store,-260,Groceries,Expense,Net Banking,TXN202509030315
2025-09-03,15:42,Dominos Pizza,-660,Food & Dining,Expense,UPI,TXN202509030315
2025-09-03,22:11,Nature's Basket,-2000,Groceries,Expense,Cash,TXN202509030315
2025-09-03,23:21,Gaming Purchase,-1520,Entertainment,Expense,UPI,TXN202509030315
2025-09-04,07:20,Reliance Fresh,-680,Groceries,Expense,Net Banking,TXN202509040315
2025-09-04,07:39,Parking Fees,-80,Transportation,Expense,Cash,TXN202509040315
2025-09-04,17:38,Nature's Basket,-2280,Groceries,Expense,Card,TXN202509040315
2025-09-04,21:08,Fruit Shop,-440,Groceries,Expense,Cash,TXN202509040315
2025-09-05,17:33,EMI Payment,-12020,Transfer,Expense,Net Banking,TXN202509050315
2025-09-05,21:19,Spotify Premium,-120,Entertainment,Expense,UPI,TXN202509050315
2025-09-05,21:44,Reliance Fresh,-820,Groceries,Expense,Net Banking,TXN202509050315
2025-09-06,06:37,DTH Recharge,-420,Utilities,Expense,UPI,TXN202509060315
2025-09-06,08:10,Coursera Subscription,-440,Education,Expense,Cash,TXN202509060315
2025-09-06,08:53,DTH Recharge,-310,Utilities,Expense,Card,TXN202509060315
2025-09-06,11:21,Barbeque Nation,-1430,Food & Dining,Expense,Cash,TXN202509060315
2025-09-06,13:00,Reliance Fresh,-450,Groceries,Expense,Net Banking,TXN202509060315
2025-09-06,16:40,Friend Payment,-2000,Transfer,Expense,Net Banking,TXN202509060315
2025-09-06,19:19,Subway,-250,Food & Dining,Expense,Net Banking,TXN202509060315
2025-09-06,19:40,Milk Dairy,-160,Groceries,Expense,Net Banking,TXN202509060315
2025-09-06,19:46,Biryani Restaurant,-710,Food & Dining,Expense,Cash,TXN202509060315
2025-09-06,20:28,Myntra Fashion,-2610,Shopping,Expense,UPI,TXN202509060315
2025-09-07,07:46,Disney+ Hotstar,-890,Entertainment,Expense,UPI,TXN202509070315
2025-09-07,08:28,D-Mart Shopping,-3100,Shopping,Expense,UPI,TXN202509070315
2025-09-07,12:14,Bowling Alley,-570,Entertainment,Expense,Card,TXN202509070315
2025-09-07,14:04,Decathlon Sports,-1250,Shopping,Expense,Net Banking,TXN202509070315
2025-09-07,18:31,More Supermarket,-1040,Groceries,Expense,Card,TXN202509070315
2025-09-07,19:46,YouTube Premium,-170,Entertainment,Expense,UPI,TXN202509070315
2025-09-07,20:38,Car Service,-3970,Transportation,Expense,Cash,TXN202509070315
2025-09-08,06:06,Starbucks Coffee,-270,Food & Dining,Expense,Net Banking,TXN202509080315
2025-09-08,12:57,Blinkit Delivery,-260,Groceries,Expense,Card,TXN202509080315
2025-09-08,14:02,Train Booking IRCTC,-850,Transportation,Expense,UPI,TXN202509080315
2025-09-08,19:52,Chinese Restaurant,-510,Food & Dining,Expense,Card,TXN202509080315
2025-09-08,22:01,LPG Gas Cylinder,-1060,Utilities,Expense,Cash,TXN202509080315
2025-09-09,16:47,Train Booking IRCTC,-930,Transportation,Expense,Card,TXN202509090315
2025-09-09,16:54,Pizza Hut,-810,Food & Dining,Expense,Card,TXN202509090315
2025-09-09,17:27,Local Kirana Store,-500,Groceries,Expense,UPI,TXN202509090315
2025-09-09,21:24,McDonald's,-280,Food & Dining,Expense,Card,TXN202509090315
2025-09-09,22:05,Haldiram's,-180,Food & Dining,Expense,Card,TXN202509090315
2025-09-10,10:46,Starbucks Coffee,-260,Food & Dining,Expense,Card,TXN202509100315
2025-09-10,14:53,Health Insurance,-1090,Healthcare,Expense,Cash,TXN202509100315
2025-09-10,15:30,Blinkit Delivery,-400,Groceries,Expense,UPI,TXN202509100315
2025-09-10,16:12,Cafe Coffee Day,-220,Food & Dining,Expense,Cash,TXN202509100315
2025-09-10,18:06,Flipkart Purchase,-3610,Shopping,Expense,UPI,TXN202509100315
2025-09-10,19:55,Biryani Restaurant,-530,Food & Dining,Expense,Cash,TXN202509100315
2025-09-11,09:09,LPG Gas Cylinder,-990,Utilities,Expense,UPI,TXN202509110315
2025-09-11,18:33,Swiggy Order,-270,Food & Dining,Expense,Net Banking,TXN202509110315
2025-09-12,10:20,Tea/Coffee Shop,-120,Food & Dining,Expense,Net Banking,TXN202509120315
2025-09-12,20:41,Cafe Coffee Day,-240,Food & Dining,Expense,UPI,TXN202509120315
2025-09-12,22:02,Friend Payment,-970,Transfer,Expense,Cash,TXN202509120315
2025-09-13,07:18,LPG Gas Cylinder,-1050,Utilities,Expense,UPI,TXN202509130315
2025-09-13,07:36,Concert Tickets,-1110,Entertainment,Expense,UPI,TXN202509130315
2025-09-13,10:35,Parking Fees,-50,Transportation,Expense,Net Banking,TXN202509130315
2025-09-13,10:56,Chinese Restaurant,-780,Food & Dining,Expense,Net Banking,TXN202509130315
2025-09-13,17:39,Train Booking IRCTC,-760,Transportation,Expense,Cash,TXN202509130315
2025-09-13,19:41,Reliance Fresh,-750,Groceries,Expense,Cash,TXN202509130315
2025-09-13,19:41,Bike Service,-900,Transportation,Expense,Card,TXN202509130315
2025-09-13,19:44,Parking Fees,-70,Transportation,Expense,Cash,TXN202509130315
2025-09-13,21:17,D-Mart Shopping,-2190,Shopping,Expense,Cash,TXN202509130315
2025-09-13,22:52,Barbeque Nation,-1960,Food & Dining,Expense,Cash,TXN202509130315
2025-09-14,07:12,Bike Service,-980,Transportation,Expense,Net Banking,TXN202509140315
2025-09-14,07:50,Starbucks Coffee,-420,Food & Dining,Expense,Card,TXN202509140315
2025-09-14,07:54,Zepto Quick,-520,Groceries,Expense,Net Banking,TXN202509140315
2025-09-14,09:49,Burger King,-290,Food & Dining,Expense,Net Banking,TXN202509140315
2025-09-14,19:12,Swiggy Instamart,-220,Groceries,Expense,Card,TXN202509140315
2025-09-14,20:26,Zepto Quick,-260,Groceries,Expense,Card,TXN202509140315
2025-09-14,21:10,PPF Contribution,-6000,Investment,Expense,Cash,TXN202509140315
2025-09-14,22:11,1mg Medicine Order,-1330,Healthcare,Expense,Net Banking,TXN202509140315
2025-09-14,22:57,Google Pay Transfer,-3240,Transfer,Expense,Net Banking,TXN202509140315
2025-09-15,09:29,Dominos Pizza,-670,Food & Dining,Expense,Cash,TXN202509150315
2025-09-15,11:18,Auto Rickshaw,-30,Transportation,Expense,Cash,TXN202509150315
2025-09-15,12:08,Local Restaurant,-310,Food & Dining,Expense,Card,TXN202509150315
2025-09-15,12:54,Dominos Pizza,-420,Food & Dining,Expense,UPI,TXN202509150315
2025-09-15,18:59,Toll Charges,-140,Transportation,Expense,Cash,TXN202509150315
2025-09-16,09:28,Vegetable Vendor,-360,Groceries,Expense,Cash,TXN202509160315
2025-09-16,10:07,Bike Service,-530,Transportation,Expense,Net Banking,TXN202509160315
2025-09-16,18:38,Maintenance Charges,-3840,Utilities,Expense,UPI,TXN202509160315
2025-09-16,22:01,Dominos Pizza,-420,Food & Dining,Expense,UPI,TXN202509160315
2025-09-17,11:44,Parking Fees,-80,Transportation,Expense,Cash,TXN202509170315
2025-09-17,12:33,Pizza Hut,-730,Food & Dining,Expense,Card,TXN202509170315
2025-09-17,12:49,Car Service,-1710,Transportation,Expense,Net Banking,TXN202509170315
2025-09-18,08:12,Metro Recharge,-310,Transportation,Expense,Card,TXN202509180315
2025-09-18,15:59,Big Bazaar,-3410,Shopping,Expense,Net Banking,TXN202509180315
2025-09-19,09:58,Metro Recharge,-190,Transportation,Expense,UPI,TXN202509190315
2025-09-19,21:05,Nykaa Beauty,-1700,Shopping,Expense,Net Banking,TXN202509190315
2025-09-20,09:52,McDonald's,-250,Food & Dining,Expense,Cash,TXN202509200315
2025-09-20,11:08,Toll Charges,-140,Transportation,Expense,UPI,TXN202509200315
2025-09-20,12:47,Water Bill,-550,Utilities,Expense,UPI,TXN202509200315
2025-09-21,06:07,DTH Recharge,-400,Utilities,Expense,Cash,TXN202509210315
2025-09-21,06:55,Haldiram's,-280,Food & Dining,Expense,Cash,TXN202509210315
2025-09-21,08:04,Zomato Delivery,-490,Food & Dining,Expense,UPI,TXN202509210315
2025-09-21,10:07,Local Market,-660,Shopping,Expense,Net Banking,TXN202509210315
2025-09-21,18:11,Dominos Pizza,-790,Food & Dining,Expense,Card,TXN202509210315
2025-09-21,18:54,Milk Dairy,-190,Groceries,Expense,Card,TXN202509210315
2025-09-21,19:18,Street Food,-90,Food & Dining,Expense,Net Banking,TXN202509210315
2025-09-22,07:40,McDonald's,-220,Food & Dining,Expense,Net Banking,TXN202509220315
2025-09-22,10:11,Nykaa Beauty,-1940,Shopping,Expense,Card,TXN202509220315
2025-09-22,15:04,Concert Tickets,-1010,Entertainment,Expense,Card,TXN202509220315
2025-09-22,21:20,Subway,-240,Food & Dining,Expense,Cash,TXN202509220315
2025-09-23,07:49,DTH Recharge,-360,Utilities,Expense,Card,TXN202509230315
2025-09-23,11:23,Burger King,-280,Food & Dining,Expense,Card,TXN202509230315
2025-09-23,11:50,Amazon Shopping,-1950,Shopping,Expense,UPI,TXN202509230315
2025-09-23,15:38,Ola Cab,-180,Transportation,Expense,Net Banking,TXN202509230315
2025-09-23,18:28,Blinkit Delivery,-560,Groceries,Expense,Net Banking,TXN202509230315
2025-09-24,06:17,BigBasket Order,-1870,Groceries,Expense,Card,TXN202509240315
2025-09-24,11:47,Street Food,-190,Food & Dining,Expense,Cash,TXN202509240315
2025-09-24,15:09,Bakery Items,-180,Food & Dining,Expense,Card,TXN202509240315
2025-09-25,11:06,Flight Booking,-3350,Transportation,Expense,Card,TXN202509250315
2025-09-25,12:22,Ice Cream Parlor,-250,Food & Dining,Expense,UPI,TXN202509250315
2025-09-25,16:15,Vegetable Vendor,-150,Groceries,Expense,Card,TXN202509250315
2025-09-26,16:40,Starbucks Coffee,-290,Food & Dining,Expense,Card,TXN202509260315
2025-09-26,17:06,Nature's Basket,-960,Groceries,Expense,Card,TXN202509260315
2025-09-26,18:07,Uber Ride,-200,Transportation,Expense,Cash,TXN202509260315
2025-09-26,18:09,Reliance Fresh,-350,Groceries,Expense,Card,TXN202509260315
2025-09-26,19:17,Uber Ride,-360,Transportation,Expense,Card,TXN202509260315
2025-09-27,11:03,Amazon Prime,-180,Entertainment,Expense,Net Banking,TXN202509270315
2025-09-27,13:11,Westside Shopping,-1560,Shopping,Expense,Cash,TXN202509270315
2025-09-27,15:44,Spencer's Retail,-940,Groceries,Expense,Card,TXN202509270315
2025-09-27,21:16,Zomato Delivery,-320,Food & Dining,Expense,Cash,TXN202509270315
2025-09-28,06:27,Croma Electronics,-6940,Shopping,Expense,Cash,TXN202509280315
2025-09-28,10:29,Amusement Park,-1090,Entertainment,Expense,Cash,TXN202509280315
2025-09-28,11:21,Parking Fees,-60,Transportation,Expense,UPI,TXN202509280315
2025-09-28,14:18,Pizza Hut,-680,Food & Dining,Expense,UPI,TXN202509280315
2025-09-28,14:58,Zepto Quick,-370,Groceries,Expense,Card,TXN202509280315
2025-09-28,17:49,Haldiram's,-160,Food & Dining,Expense,Card,TXN202509280315
2025-09-28,21:20,Rapido Bike,-130,Transportation,Expense,Net Banking,TXN202509280315
2025-09-28,23:06,Rapido Bike,-120,Transportation,Expense,Card,TXN202509280315
2025-09-28,23:09,Bus Ticket,-60,Transportation,Expense,UPI,TXN202509280315
2025-09-29,07:25,Auto Rickshaw,-120,Transportation,Expense,Card,TXN202509290315
2025-09-29,13:23,Milk Dairy,-130,Groceries,Expense,Net Banking,TXN202509290315
2025-09-29,15:24,Biryani Restaurant,-770,Food & Dining,Expense,Net Banking,TXN202509290315
2025-09-29,17:36,EMI Payment,-12670,Transfer,Expense,UPI,TXN202509290315
2025-09-29,22:13,Tea/Coffee Shop,-120,Food & Dining,Expense,Card,TXN202509290315
2025-09-29,23:08,Internet Bill,-1000,Utilities,Expense,Cash,TXN202509290315
2025-09-30,11:24,Lifestyle Store,-4430,Shopping,Expense,Net Banking,TXN202509300315
2025-09-30,11:27,Vegetable Vendor,-130,Groceries,Expense,UPI,TXN202509300315
2025-09-30,15:24,Electricity Bill,-2540,Utilities,Expense,Net Banking,TXN202509300315
2025-09-30,21:25,McDonald's,-340,Food & Dining,Expense,Card,TXN202509300315
